Date,BND,BTC-USD,ETH-USD,GLD,GOOGL,IEF,MSFT,TLT,VOO,^GSPC
2021-04-15,73.05712890625,63314.01171875,2519.1162109375,165.35000610351562,113.32585906982422,99.91228485107422,249.00572204589844,119.1299057006836,355.9687805175781,4170.419921875
2021-04-16,72.86048126220703,61572.7890625,2431.946533203125,166.35000610351562,113.20189666748047,99.64203643798828,250.19557189941406,118.20472717285156,357.21636962890625,4185.47021484375
2021-04-17,72.86048126220703,60683.8203125,2344.89501953125,166.35000610351562,113.20189666748047,99.64203643798828,250.19557189941406,118.20472717285156,357.21636962890625,4185.47021484375
2021-04-18,72.86048126220703,56216.18359375,2237.136962890625,166.35000610351562,113.20189666748047,99.64203643798828,250.19557189941406,118.20472717285156,357.21636962890625,4185.47021484375
2021-04-19,72.81776428222656,55724.265625,2166.188720703125,165.88999938964844,113.54951477050781,99.53739929199219,248.2764434814453,117.86519622802734,355.4566345214844,4163.259765625
2021-04-20,72.93743896484375,56473.03125,2330.2109375,166.47999572753906,113.01642608642578,99.83382415771484,247.81585693359375,118.40840148925781,352.8492431640625,4134.93994140625
2021-04-21,73.01437377929688,53906.08984375,2364.751708984375,168.1300048828125,112.98369598388672,99.88615417480469,250.04200744628906,118.64604949951172,356.16424560546875,4173.419921875
2021-04-22,73.04857635498047,51762.2734375,2403.53515625,167.0399932861328,111.7027816772461,99.9646224975586,246.76992797851562,119.16383361816406,352.8958740234375,4134.97998046875
2021-04-23,73.05712890625,51093.65234375,2363.586181640625,166.39999389648438,114.0538558959961,99.83382415771484,250.5889892578125,118.88374328613281,356.6577453613281,4180.169921875
2021-04-24,73.05712890625,50050.8671875,2211.625732421875,166.39999389648438,114.0538558959961,99.83382415771484,250.5889892578125,118.88374328613281,356.6577453613281,4180.169921875
2021-04-25,73.05712890625,49004.25390625,2316.0595703125,166.39999389648438,114.0538558959961,99.83382415771484,250.5889892578125,118.88374328613281,356.6577453613281,4180.169921875
2021-04-26,73.00582122802734,54021.75390625,2534.481689453125,166.83999633789062,114.54975128173828,99.72923278808594,250.9727783203125,118.71397399902344,357.4305725097656,4187.6201171875
2021-04-27,72.81776428222656,55033.1171875,2662.865234375,166.4199981689453,113.61002349853516,99.33690643310547,251.37583923339844,117.67842102050781,357.3188171386719,4186.72021484375
